region,delegacion,nivel,sede,padron
REGIÓN III - POZA RICA,D-III-12,EDUCACION FISICA,POZA RICA,1
REGIÓN XI - MINATITLÁN,D-II-44,TELEBACHILLERATO,ACAYUCAN,0
REGIÓN XI - MINATITLÁN,D-II-52,TELESECUNDARIA,COATZACOALCOS,0
REGIÓN XI - MINATITLÁN,D-II-23,SECUNDARIA,COATZACOALCOS,0
REGIÓN III - POZA RICA,D-I-24,PRIMARIAS,HUAYACOCOTLA,1
REGIÓN III - POZA RICA,D-I-40,PRIMARIAS,PAPANTLA,1
REGIÓN III - POZA RICA,D-I-21,PRIMARIAS,ESPINAL,0
REGIÓN III - POZA RICA,D-I-85,PREESCOLAR,PAPANTLA,1
REGIÓN III - POZA RICA,D-I-46,PRIMARIAS,POZA RICA,0
REGIÓN III - POZA RICA,D-I-67,PRIMARIAS,GUTIERREZ ZAMORA,1
REGIÓN XI - MINATITLÁN,D-I-12,FORANEAS,COATZACOALCOS,0
REGIÓN III - POZA RICA,D-II-41,TELESECUNDARIA,POZA RICA,1
REGIÓN III - POZA RICA,D-II-19,TELEBACHILLERATO,ALAMO,1
REGIÓN XI - MINATITLÁN,D-I-49,PRIMARIAS,SAYULA DE ALEMAN,0
REGIÓN XI - MINATITLÁN,D-I-59,PREESCOLAR,ACAYUCAN,0
REGIÓN XI - MINATITLÁN,D-II-45,TELEBACHILLERATO,COATZACOALCOS,0
REGIÓN XI - MINATITLÁN,D-III-22,EDUCACION FISICA,COATZACOALCOS,0
REGIÓN XI - MINATITLÁN,D-I-32,LOCALES,MINATITLAN,0
REGIÓN I - TANTOYUCA,D-I-18,PRIMARIAS,CHICONTEPEC,0
REGIÓN III - POZA RICA,D-II-57,TELEBACHILLERATO,HUAYACOCOTLA,1
REGIÓN VII - CÓRDOBA,D-I-76,PRIMARIAS,TOTUTLA,0
REGIÓN VII - CÓRDOBA,D-I-42,PRIMARIAS,PASO DEL MACHO,1
